,V1,V2,source
107726_SRR12070081,-0.000948634,-0.002650184,pig
107727_SRR12070082,-0.00066068,-0.001503821,pig
107728_SRR12070083,-0.002196825,-0.001793445,pig
107729_SRR12070084,0.000763954,-0.0005695,pig
107730_SRR12070085,0.00018532,-0.000350773,pig
107731_SRR12070086,0.00212073,-0.001429984,pig
107732_SRR12070087,0.000929939,0.0003431,pig
107733_SRR12070088,0.001171829,-0.000949696,pig
107734_SRR12070089,-0.000747002,-0.001973812,pig
107735_SRR12070090,0.001667716,-0.003263982,pig
107736_SRR12070091,-0.000767887,-0.001397303,pig
107737_SRR12070092,0.000921984,-0.001111297,pig
107738_SRR12070093,0.001378965,-0.00541435,pig
107739_SRR12070094,0.00140232,-0.004172681,pig
107740_SRR12070095,-0.000767886,-0.001397296,pig
107741_SRR12070096,0.000654322,-0.001224552,pig
107742_SRR12070097,-0.002040194,-0.001458668,pig
107743_SRR12070098,0.000832517,0.000405584,pig
107744_SRR12070099,0.001585534,-0.000877629,pig
107745_SRR12070100,0.002647179,-0.004545284,pig
107746_SRR12070101,0.000818964,-0.001568226,pig
107747_SRR12070102,0.000189903,-0.001966603,pig
107748_SRR12070103,0.000695814,-0.003350767,pig
107749_SRR12070104,0.000228381,-0.003018823,pig
107750_SRR12070105,-0.001523738,-0.001527114,pig
107751_SRR12070106,-0.000544171,-0.003060582,pig
107752_SRR12070107,0.001601887,-0.002542816,pig
107753_SRR12070108,-0.001601086,-0.005162757,pig
107754_SRR12070109,-0.000226151,9.34E-05,pig
107755_SRR12070110,-0.001060715,-0.001932396,pig
107756_SRR12070111,-0.000968089,-0.002014104,pig
107757_SRR12070112,-0.001661887,-0.001599156,pig
107758_SRR12070113,0.000354665,-0.00252636,pig
107759_SRR12070114,0.001419088,-0.002137549,pig
107760_SRR12070115,-0.000343348,-0.00148508,pig
107761_SRR12070116,0.000348783,-0.002428031,pig
107762_SRR12070117,-0.000630251,-0.001927229,pig
107763_SRR12070118,0.002142566,-0.003925477,pig
107764_SRR12070119,-0.001199753,-0.004134692,pig
107765_SRR12070120,-0.000544502,6.21E-05,pig
107766_SRR12070121,-0.001632172,-0.001849198,pig
107767_SRR12070122,-0.000622358,-0.001053748,pig
107768_SRR12070123,0.002015747,-0.006100624,pig
107769_SRR12070124,0.001621161,-0.004554217,pig
107770_SRR12070125,0.000848294,-0.003204128,pig
107771_SRR12070126,8.50E-05,0.02046571,pig
107772_SRR12070127,0.000581756,-0.003184301,pig
107773_SRR12070128,-0.000187411,-0.000257931,pig
107774_SRR12070129,2.76E-05,-0.005449111,pig
107775_SRR12070130,0.001051128,-0.003553392,pig
107776_SRR12070132,0.001469713,-0.001309944,pig
107777_SRR12070133,0.001871433,-0.000973963,pig
